_respondent_id,Q1_Age,Q2_Occupation,Q3_Ethnicity,Q4_Income,Q5_Wardrobe_Size,Q6_Shopping_Frequency,Q7_Current_Brands,Q8_Shopping_Channels,Q9_Spend_Per_Kurti,Q10_Purchase_Triggers,Q11_Style_Preference,Q12_Fabric_Preference,Q13_Color_Preference,Q14_Fit_Preference,Q15_Print_Preference,Q16_Sleeve_Preference,Q16_Neckline_Preference,Q16_Length_Preference,Q17_Bottom_Pairing,Q18_Occasions,Q19_Pack_Interest,Q20_Bundle_Budget,Q21_Discount_Preference,Q22_Fashion_Identity,Q23_Pain_Points,Q24_Return_Anxiety,Q25_Purchase_Intent,_persona
R0346,23-27,Self-Employed/Freelancer,South Asian,,None,Once in 2-3 months,Libas; Anouk (Myntra),Physical stores/malls in UAE; Buy from India (trips or family shipments),101-150 AED,Sale or discount offer; Gift for someone,Straight-cut; A-line; Shirt-style/collar; Anarkali (short flared); Peplum; Asymmetric/high-low hem; Crop kurti; Kaftan-style,Pure Cotton; Cotton-Linen blend; Rayon; Georgette/Chiffon; Silk/Chanderi; Muslin; Denim-look fabric; No preference,"Pastels (peach, lavender, mint, blush); Earthy tones (mustard, rust, olive, brown); Jewel tones (emerald, maroon, royal blue, deep purple); Neutrals (black, white, beige, grey); Bright/Pop colors (red, yellow, hot pink, orange); Multi-color/prints",Regular/comfort fit,Florals; Geometric/abstract; Block print/Jaipur print; Solid/plain; Stripes/checks; Embroidered/thread work; Mirror work/sequins; Digital/contemporary prints,Full sleeves; 3/4th sleeves; Short/half sleeves; Sleeveless; Bell/statement sleeves,Round neck; V-neck; Mandarin/band collar; Boat neck; Shirt collar; Keyhole/cut-out,Mid-thigh; Just above knee,Jeans/denim; Leggings/jeggings; Palazzo pants; Cigarette/straight pants; Skirts; Dhoti pants/tulip pants; Sharara,"Casual outings/errands; Festivals (Diwali, Eid, etc.); Family gatherings/dinners; Parties/date nights",Festive Glow (2 embroidered/silk kurtis),181-250 AED,Combo price lower than individual total,I follow trends closely and love experimenting with new styles,Sizing is inconsistent across brands,Sometimes - depends on the brand/platform,Might or might not,festive
R0347,18-22,Self-Employed/Freelancer,South Asian,"Under 3,000 AED",More than 20,2-3 times a month,Meesho/unbranded sellers,"Online marketplaces (Amazon, Noon, Namshi); Instagram/Social media shops",61-100 AED,Upcoming festival/occasion; Sale or discount offer; Saw something trending on social media,Straight-cut; Peplum,Rayon,"Bright/Pop colors (red, yellow, hot pink, orange); Multi-color/prints",Slim/body-hugging fit,Florals; Mirror work/sequins,3/4th sleeves,Keyhole/cut-out,Hip length (above mid-thigh),Palazzo pants,Casual outings/errands; Family gatherings/dinners; Parties/date nights,Campus Essentials (3 daily-wear cotton kurtis); None - I prefer buying single pieces,181-250 AED,Buy 2 Get 1 Free,I follow trends closely and love experimenting with new styles,Sizing is inconsistent across brands; Limited trendy options for short kurtis,Sometimes - depends on the brand/platform,Probably would not,trend
R0348,18-22,Student (School/Undergraduate),South Asian,"Under 3,000 AED",None,Rarely/Never,Biba; Meesho/unbranded sellers; Local UAE stores/boutiques,"Online marketplaces (Amazon, Noon, Namshi); Physical stores/malls in UAE",61-100 AED,Upcoming festival/occasion; Saw something trending on social media; Impulse/mood shopping,A-line; Shirt-style/collar; Asymmetric/high-low hem; Crop kurti,Rayon,"Pastels (peach, lavender, mint, blush)",Slim/body-hugging fit,,Full sleeves,Boat neck,Hip length (above mid-thigh),Jeans/denim,Parties/date nights; Weekend/lounging,"Campus Essentials (3 daily-wear cotton kurtis); Vibe Check Drop (1 trendy statement piece, monthly limited)",181-250 AED,"Referral rewards; First-order discount; Flat percentage off (e.g., 20% off)",I follow trends closely and love experimenting with new styles,Limited trendy options for short kurtis; Too expensive for the quality offered,"Yes, frequently - it's a major concern",Probably would buy,campus
R0349,28-34,Self-Employed/Freelancer,South Asian,"12,001-20,000 AED",More than 20,Once in 2-3 months,W for Woman; Buy during India visits,Brand websites (D2C online stores),101-150 AED,Sale or discount offer; Need for daily/work wardrobe refresh; New season or collection drop,Shirt-style/collar; Asymmetric/high-low hem,Rayon,,Flared/breezy fit,Solid/plain; Digital/contemporary prints,3/4th sleeves,Round neck; Mandarin/band collar,Mid-thigh,Cigarette/straight pants,Office/workplace,None - I prefer buying single pieces,Under 80 AED,"Flat percentage off (e.g., 20% off); I don't need discounts - I buy if I like the product",I love mixing Indian and Western styles to create my own look,Fabric quality doesn't match product photos; Limited trendy options for short kurtis; Poor delivery experience to UAE (slow/damaged); Difficult or costly returns,Rarely - I'm usually okay with online purchases,Probably would not,professional
R0350,28-34,Homemaker,South Asian,"3,000-7,000 AED",6-12,Once in 2-3 months,Buy during India visits; Local UAE stores/boutiques; Instagram/WhatsApp small brands,"Buy from India (trips or family shipments); Online marketplaces (Amazon, Noon, Namshi); Instagram/Social media shops",Above 250 AED,Gift for someone,A-line; Anarkali (short flared),Pure Cotton; Georgette/Chiffon,"Jewel tones (emerald, maroon, royal blue, deep purple); Multi-color/prints",Regular/comfort fit,Embroidered/thread work; Digital/contemporary prints,Full sleeves,Round neck; Boat neck,Mid-thigh; Knee length,Palazzo pants,"Festivals (Diwali, Eid, etc.); Family gatherings/dinners; Parties/date nights",Festive Glow (2 embroidered/silk kurtis); None - I prefer buying single pieces,181-250 AED,Free delivery,I love mixing Indian and Western styles to create my own look,Poor delivery experience to UAE (slow/damaged),"Yes, frequently - it's a major concern",Probably would buy,festive
R0351,23-27,Student (Postgraduate),South Asian,"7,001-12,000 AED",6-12,Only during festivals/occasions,Instagram/WhatsApp small brands; Anouk (Myntra); I don't buy kurtis currently,,30-60 AED,Sale or discount offer; Gift for someone,Anarkali (short flared),Muslin,"Pastels (peach, lavender, mint, blush); Jewel tones (emerald, maroon, royal blue, deep purple); Bright/Pop colors (red, yellow, hot pink, orange)",Flared/breezy fit,Florals,3/4th sleeves,,Hip length (above mid-thigh); Knee length,Leggings/jeggings; Sharara,"Festivals (Diwali, Eid, etc.); Family gatherings/dinners; I don't wear kurtis currently",Campus Essentials (3 daily-wear cotton kurtis),Above 250 AED,"Flat percentage off (e.g., 20% off)",I only dress up for occasions - daily wear is minimal effort,Fabric quality doesn't match product photos; Limited trendy options for short kurtis; Not enough options for my size,Sometimes - depends on the brand/platform,Might or might not,festive
R0352,28-34,Working Professional,Southeast Asian,"Under 3,000 AED",1-5,Only during festivals/occasions,Buy during India visits,Buy from India (trips or family shipments),Above 250 AED,Need for daily/work wardrobe refresh,A-line; Kaftan-style,Pure Cotton; Silk/Chanderi; Muslin,"Pastels (peach, lavender, mint, blush); Neutrals (black, white, beige, grey)",Relaxed/loose fit,Block print/Jaipur print; Stripes/checks,Full sleeves; 3/4th sleeves; Short/half sleeves,Round neck; Mandarin/band collar,Hip length (above mid-thigh); Just above knee,Leggings/jeggings,Family gatherings/dinners,Campus Essentials (3 daily-wear cotton kurtis),181-250 AED,First-order discount; I don't need discounts - I buy if I like the product,I prioritize comfort and practicality above everything,Fabric quality doesn't match product photos,Rarely - I'm usually okay with online purchases,Definitely would buy,minimalist
R0353,18-22,Student (Postgraduate),South Asian,No personal income,13-20,Once in 2-3 months,Anouk (Myntra); Instagram/WhatsApp small brands,"Online marketplaces (Amazon, Noon, Namshi)",30-60 AED,Sale or discount offer; Impulse/mood shopping,Peplum; Asymmetric/high-low hem,Pure Cotton; Denim-look fabric,"Pastels (peach, lavender, mint, blush); Jewel tones (emerald, maroon, royal blue, deep purple)",Flared/breezy fit,,Full sleeves; Short/half sleeves,Boat neck,Just above knee,Palazzo pants; Cigarette/straight pants; Skirts; Dhoti pants/tulip pants,Daily college/university wear; Office/workplace; Parties/date nights,"Vibe Check Drop (1 trendy statement piece, monthly limited); None - I prefer buying single pieces",121-180 AED,"Flat percentage off (e.g., 20% off)",I follow trends closely and love experimenting with new styles,Too expensive for the quality offered; Difficult or costly returns; Can't find good curated sets/bundles,Rarely - I'm usually okay with online purchases,Probably would buy,trend
R0354,18-22,Student (School/Undergraduate),South Asian,No personal income,6-12,2-3 times a month,,"Online marketplaces (Amazon, Noon, Namshi)",Under 30 AED,Upcoming festival/occasion; Saw something trending on social media; New season or collection drop,Straight-cut; A-line,Pure Cotton,"Jewel tones (emerald, maroon, royal blue, deep purple); Bright/Pop colors (red, yellow, hot pink, orange); Multi-color/prints",Slim/body-hugging fit,,Short/half sleeves,Round neck,Just above knee,Jeans/denim; Leggings/jeggings; Cigarette/straight pants,"Festivals (Diwali, Eid, etc.); Weekend/lounging","Campus Essentials (3 daily-wear cotton kurtis); Vibe Check Drop (1 trendy statement piece, monthly limited); None - I prefer buying single pieces",Under 80 AED,"Flat percentage off (e.g., 20% off); Combo price lower than individual total",I prioritize comfort and practicality above everything,Too expensive for the quality offered; Not enough options for my size,Never - I'm confident buying online,Definitely would buy,campus
R0355,18-22,Student (School/Undergraduate),Southeast Asian,,1-5,Weekly,Biba; Instagram/WhatsApp small brands,Instagram/Social media shops; Physical stores/malls in UAE,30-60 AED,Upcoming festival/occasion; Saw something trending on social media,Anarkali (short flared); Kaftan-style,Pure Cotton; Denim-look fabric,"Pastels (peach, lavender, mint, blush); Neutrals (black, white, beige, grey)",Relaxed/loose fit,,Sleeveless,Mandarin/band collar,Mid-thigh,Jeans/denim; Palazzo pants; Skirts,"Casual outings/errands; Festivals (Diwali, Eid, etc.)",Campus Essentials (3 daily-wear cotton kurtis),80-120 AED,Combo price lower than individual total,I love mixing Indian and Western styles to create my own look,Limited trendy options for short kurtis; Too expensive for the quality offered,Sometimes - depends on the brand/platform,Definitely would buy,campus
R0356,18-22,Student (School/Undergraduate),South Asian,No personal income,13-20,2-3 times a month,Libas; Instagram/WhatsApp small brands,Buy from India (trips or family shipments),30-60 AED,New season or collection drop; Impulse/mood shopping; Sale or discount offer,Anarkali (short flared); Asymmetric/high-low hem; Crop kurti; Kaftan-style,Pure Cotton; Denim-look fabric,"Earthy tones (mustard, rust, olive, brown); Multi-color/prints",Relaxed/loose fit,Florals,Bell/statement sleeves,Keyhole/cut-out,Mid-thigh,Palazzo pants; Cigarette/straight pants,Daily college/university wear; Parties/date nights,"Vibe Check Drop (1 trendy statement piece, monthly limited)",121-180 AED,Free delivery; First-order discount,I follow trends closely and love experimenting with new styles,Too expensive for the quality offered,Sometimes - depends on the brand/platform,Might or might not,trend
R0357,18-22,Student (School/Undergraduate),South Asian,No personal income,1-5,2-3 times a month,Local UAE stores/boutiques; Buy during India visits,Instagram/Social media shops,30-60 AED,Sale or discount offer,A-line; Shirt-style/collar; Asymmetric/high-low hem,Pure Cotton; Georgette/Chiffon,"Pastels (peach, lavender, mint, blush); Neutrals (black, white, beige, grey); Multi-color/prints",Regular/comfort fit,Florals; Solid/plain; Digital/contemporary prints,Sleeveless,,Just above knee,Jeans/denim; Skirts,Family gatherings/dinners,Campus Essentials (3 daily-wear cotton kurtis),80-120 AED,Buy 2 Get 1 Free; Free delivery,I love mixing Indian and Western styles to create my own look,Sizing is inconsistent across brands; Limited trendy options for short kurtis; Too expensive for the quality offered; No major frustrations,Sometimes - depends on the brand/platform,Definitely would buy,campus
R0358,18-22,Working Professional,South Asian,"7,001-12,000 AED",1-5,Once in 2-3 months,W for Woman,"Online marketplaces (Amazon, Noon, Namshi); Buy from India (trips or family shipments)",,Upcoming festival/occasion,A-line; Anarkali (short flared),Rayon; Georgette/Chiffon; Silk/Chanderi,"Pastels (peach, lavender, mint, blush); Jewel tones (emerald, maroon, royal blue, deep purple)",Relaxed/loose fit,Florals; Embroidered/thread work,Bell/statement sleeves,Round neck; Boat neck,Just above knee,Leggings/jeggings; Palazzo pants; Cigarette/straight pants; Dhoti pants/tulip pants,"Festivals (Diwali, Eid, etc.); Family gatherings/dinners; Parties/date nights",Festive Glow (2 embroidered/silk kurtis); None - I prefer buying single pieces,121-180 AED,Buy 2 Get 1 Free; Free delivery; Combo price lower than individual total,I only dress up for occasions - daily wear is minimal effort,Fabric quality doesn't match product photos,"Yes, frequently - it's a major concern",Probably would not,festive
R0359,35 and above,Working Professional,African,"12,001-20,000 AED",None,Rarely/Never,Local UAE stores/boutiques; I don't buy kurtis currently,Brand websites (D2C online stores),61-100 AED,New season or collection drop,Peplum,Georgette/Chiffon,Multi-color/prints,Relaxed/loose fit,Solid/plain,Short/half sleeves,Round neck,Knee length,Cigarette/straight pants,I don't wear kurtis currently,None - I prefer buying single pieces,181-250 AED,,I only dress up for occasions - daily wear is minimal effort,Not enough options for my size,"Yes, frequently - it's a major concern",Might or might not,non_customer
R0360,28-34,Student (School/Undergraduate),Other,"Under 3,000 AED",13-20,2-3 times a month,Libas; Biba; W for Woman,"Online marketplaces (Amazon, Noon, Namshi)",30-60 AED,Upcoming festival/occasion; Gift for someone,A-line,Silk/Chanderi,"Pastels (peach, lavender, mint, blush); Jewel tones (emerald, maroon, royal blue, deep purple)",Flared/breezy fit,Mirror work/sequins,3/4th sleeves; Bell/statement sleeves,,Mid-thigh,Cigarette/straight pants; Dhoti pants/tulip pants; Sharara,"Festivals (Diwali, Eid, etc.); Family gatherings/dinners",Festive Glow (2 embroidered/silk kurtis),Above 250 AED,"Flat percentage off (e.g., 20% off); Combo price lower than individual total",I follow trends closely and love experimenting with new styles,Sizing is inconsistent across brands; Can't find good curated sets/bundles,Rarely - I'm usually okay with online purchases,Definitely would not,festive
R0361,28-34,Working Professional,South Asian,"7,001-12,000 AED",13-20,Once a month,Local UAE stores/boutiques; Buy during India visits; Instagram/WhatsApp small brands,Brand websites (D2C online stores),101-150 AED,Saw something trending on social media; Need for daily/work wardrobe refresh,Crop kurti,Rayon,"Earthy tones (mustard, rust, olive, brown)",Relaxed/loose fit,Geometric/abstract; Solid/plain; Embroidered/thread work,Short/half sleeves,Shirt collar,Just above knee,Cigarette/straight pants; Dhoti pants/tulip pants,Office/workplace; Casual outings/errands,"Vibe Check Drop (1 trendy statement piece, monthly limited)",,First-order discount,I love mixing Indian and Western styles to create my own look,Limited trendy options for short kurtis; Poor delivery experience to UAE (slow/damaged); Difficult or costly returns,Rarely - I'm usually okay with online purchases,Might or might not,professional
R0362,18-22,Working Professional,South Asian,"7,001-12,000 AED",1-5,Rarely/Never,Libas; Instagram/WhatsApp small brands,"Online marketplaces (Amazon, Noon, Namshi); Instagram/Social media shops; Physical stores/malls in UAE",61-100 AED,Upcoming festival/occasion; Impulse/mood shopping,Peplum; Asymmetric/high-low hem; Crop kurti,Pure Cotton; Rayon,"Jewel tones (emerald, maroon, royal blue, deep purple); Bright/Pop colors (red, yellow, hot pink, orange); Multi-color/prints",Relaxed/loose fit,Block print/Jaipur print,Short/half sleeves; Sleeveless,Keyhole/cut-out,Hip length (above mid-thigh),Leggings/jeggings,Parties/date nights,"Vibe Check Drop (1 trendy statement piece, monthly limited)",Under 80 AED,"Flat percentage off (e.g., 20% off); Free delivery; First-order discount",I follow trends closely and love experimenting with new styles,Can't find good curated sets/bundles,,Definitely would buy,trend
